Fecha,Docto,Descripcion,Deb/Cred,Saldo,Agencia
02/04/2022,162,040-0004175-6,"-3,095.00",814.22,Bca. Empresa
04/04/2022,10181,FARM FAYCO ELGIN EXPRESS,-32.52,781.70,Departamento 5B
04/04/2022,8214,IMPO PARQUE LAS AMERICAS,-607.41,174.29,Departamento 5B
04/04/2022,16351,PROYECTO TRES,-15.00,159.29,Departamento 5B
07/04/2022,235,Transf. desde cta.40-4175-6,250.00,409.29,Bca. Empresa
10/04/2022,6591,PANADER A SN MART N PLZ M,-74.00,335.29,Departamento 5B
10/04/2022,163,040-0004175-6,-100.00,235.29,Bca. Empresa
12/04/2022,97985,SUPER LA TORRE MADERO -VN,-182.14,53.15,Departamento 5B
12/04/2022,68378103,PAGO PLANILLA,"11,198.14","11,251.29",Bca. Empresa
12/04/2022,147824,Pago Tarjeta Master Q --- Q,"-1,610.75","9,640.54",Cob.Cta.Ajena
13/04/2022,164,040-0004175-6,"-9,000.00",640.54,Bca. Empresa
16/04/2022,95436,MCDONALDS CONDADO CO,-51.00,589.54,Departamento 5B
16/04/2022,1738,KENNETH COLE,-443.40,146.14,Departamento 5B
16/04/2022,75021,CENTRO COM PRADERA CONCEP,-10.00,136.14,Departamento 5B
16/04/2022,188562,DOLLARCITY MINUTO CARRETE,-60.00,76.14,Departamento 5B
29/04/2022,81932873,PAGO PLANILLA,"3,405.20","3,481.34",Bca. Empresa
30/04/2022,2074,FRIDAS LA ESTACION,-217.00,"3,264.34",Departamento 5B
30/04/2022,22045623,Manejo Tarjeta de Débito,-15.00,"3,249.34",Oper. Autom.
01/03/2022,159,TRANSFERENCIA DE FONDOS BC,"-3,530.00",469.77
08/03/2022,40018,Consumo en establecimiento,-36.00,433.77
08/03/2022,95535,Consumo en establecimiento,-98.35,335.42
08/03/2022,497891,Pago Tarjeta Master Q --- Q,-120.00,215.42
10/03/2022,226,TRANSFERENCIA DE FONDOS BC,"1,800.00","2,015.42"
10/03/2022,421150,Pago Tarjeta Master Q --- Q,"-1,793.50",221.92
12/03/2022,64249,Consumo en establecimiento,-39.00,182.92
13/03/2022,79709,Consumo en establecimiento,-135.00,47.92
15/03/2022,2128159,PAGO PLANILLA,"11,790.52","11,838.44"
16/03/2022,160,TRANSFERENCIA DE FONDOS BC,"-10,650.00","1,188.44"
18/03/2022,4663,Consumo en establecimiento,-150.00,"1,038.44"
18/03/2022,228,TRANSFERENCIA DE FONDOS BC,150.00,"1,188.44"
19/03/2022,113779,Consumo en establecimiento,-394.90,793.54
22/03/2022,151807,Consumo en establecimiento,-44.75,748.79
26/03/2022,161,TRANSFERENCIA DE FONDOS BC,-20.00,728.79
31/03/2022,3242196,PAGO PLANILLA,"3,395.43","4,124.22"
31/03/2022,246304,Transacción ATM,-200.00,"3,924.22"
31/03/2022,22035623,Manejo Tarjeta de Débito,-15.00,"3,909.22"
02/02/2022,157,TRANSFERENCIA DE FONDOS BC,"-3,500.00",391.51
04/02/2022,188,TRANSFERENCIA DE FONDOS BC,300.00,691.51
11/02/2022,4297,Consumo en establecimiento,-150.00,541.51
11/02/2022,213,TRANSFERENCIA DE FONDOS BC,300.00,841.51
12/02/2022,214,TRANSFERENCIA DE FONDOS BC,"1,800.00","2,641.51"
12/02/2022,528179,Pago Tarjeta Master Q --- Q,"-1,700.00",941.51
12/02/2022,72,Consumo en establecimiento,-147.55,793.96
13/02/2022,1551,Consumo en establecimiento,-109.00,684.96
14/02/2022,174781,Consumo en establecimiento,-140.00,544.96
15/02/2022,43790,Consumo en establecimiento,-260.00,284.96
15/02/2022,24183934,PAGO PLANILLA,"6,839.01","7,123.97"
16/02/2022,158,TRANSFERENCIA DE FONDOS BC,"-7,100.00",23.97
21/02/2022,217,TRANSFERENCIA DE FONDOS BC,300.00,323.97
21/02/2022,218,TRANSFERENCIA DE FONDOS BC,500.00,823.97
22/02/2022,66791,Consumo en establecimiento,-150.00,673.97
23/02/2022,68060,Consumo en establecimiento,-81.45,592.52
23/02/2022,73406,Consumo en establecimiento,-112.00,480.52
28/02/2022,95590438,PAGO PLANILLA,"3,534.25","4,014.77"
28/02/2022,22025623,Manejo Tarjeta de Débito,-15.00,"3,999.77"
